요양기관명,종별코드명,시군구코드명,읍면동,주소,전화번호,개설일자,총의사수,의과전문의 인원수,한방전문의 인원수,치과전문의 인원수,좌표(X),좌표(Y),구분
김약국,약국,영주시,영주동,"경상북도 영주시 중앙로 135, 1층 (영주동)",054-631-7222,2018-05-14,,,,,128.6258532,36.8272648,약국
녹십자약국,약국,영주시,가흥동,"경상북도 영주시 대학로 325, (가흥동)",054-634-7956,2019-06-28,,,,,128.6048154,36.8244305,약국
대흥약국,약국,영주시,영주동,"경상북도 영주시 영주로231번길 20, (영주동)",054-631-9000,1992-10-20,,,,,128.6254983,36.8265377,약국
동산약국,약국,영주시,영주동,"경상북도 영주시 구성로350번길 2, (영주동)",054-631-2393,2009-10-16,,,,,128.6235222,36.8231339,약국
동원약국,약국,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 88, 1층 (동원약국)",054-636-2223,2016-08-26,,,,,128.5262956,36.8700447,약국
드림약국,약국,영주시,휴천동,"경상북도 영주시 대학로 34, (휴천동)",054-632-7402,2014-04-08,,,,,128.6207849,36.809597,약국
명문약국,약국,영주시,하망동,"경상북도 영주시 중앙로 138-1, (하망동, 예천참기름방)",054-635-7794,2012-11-13,,,,,128.6264129,36.8274373,약국
보건약국,약국,영주시,영주동,"경상북도 영주시 구성로 355, (영주동)",054-632-6668,1988-04-25,,,,,128.6226512,36.8233713,약국
삽재한약국,약국,영주시,상망동,"경상북도 영주시 봉화로 114-1, (상망동, 사슴농장)",054-633-6784,2016-01-29,,,,,128.666346,36.8415737,약국
선비약국,약국,영주시,하망동,"경상북도 영주시 중앙로126번길 6, (하망동)",054-637-5335,2020-03-30,,,,,128.62617,36.8261508,약국
성모약국,약국,영주시,영주동,"경상북도 영주시 구성로 340, 1층 (영주동)",054-631-2717,2025-01-13,,,,,128.6241926,36.8225346,약국
소백산약국,약국,영주시,영주동,"경상북도 영주시 구성로 371-1, (영주동, 소백산약국)",054-636-1081,2015-12-02,,,,,128.6212918,36.8244364,약국
신세계약국,약국,영주시,휴천동,"경상북도 영주시 꽃동산로 30-1, (휴천동)",054-631-0507,1992-03-17,,,,,128.6212092,36.8129457,약국
양지약국,약국,영주시,휴천동,"경상북도 영주시 선비로 65, 1층 (휴천동)",054-631-3642,2018-05-01,,,,,128.6238235,36.8107543,약국
열린약국,약국,영주시,하망동,"경상북도 영주시 영주로 241, 청정골식당 (하망동)",054-917-2020,2014-05-28,,,,,128.6262905,36.8256343,약국
영주대학로약국,약국,영주시,가흥동,"경상북도 영주시 대학로 323, (가흥동)",054-638-1266,2023-05-24,,,,,128.6048649,36.8242895,약국
영주백세약국,약국,영주시,가흥동,"경상북도 영주시 지천로 166, 1층 (가흥동)",,2023-08-30,,,,,128.6194396,36.8149564,약국
영주약국,약국,영주시,영주동,"경상북도 영주시 중앙로 91, (영주동)",054-638-0002,2000-09-16,,,,,128.6249329,36.8235743,약국
영주임약국,약국,영주시,하망동,"경상북도 영주시 중앙로 119, 1층 (하망동)",054-637-5033,2008-12-30,,,,,128.6255975,36.8259038,약국
우리들약국,약국,영주시,휴천동,"경상북도 영주시 대학로 29, 삼성홈플러스 (휴천동)",054-635-3138,2020-07-30,,,,,128.6212673,36.8091377,약국
우리약국,약국,영주시,영주동,"경상북도 영주시 영주로 203-2, 우리약국 (영주동)",054-635-1234,2020-05-08,,,,,128.6221247,36.8261599,약국
유한약국,약국,영주시,하망동,"경상북도 영주시 중앙로 105, 1층 (하망동)",054-632-5900,1986-05-22,,,,,128.623474,36.8227166,약국
장춘당약국,약국,영주시,영주동,"경상북도 영주시 중앙로 95, (영주동)",054-631-2235,1994-04-11,,,,,128.6251245,36.8239249,약국
재경 약국,약국,영주시,봉현면,"경상북도 영주시 봉현면 오현로 58, (봉현면)",054-633-6326,2009-03-18,,,,,128.5238097,36.8637627,약국
제2경북약국,약국,영주시,하망동,"경상북도 영주시 중앙로 122, (하망동)",054-634-4822,2004-12-17,,,,,128.6260424,36.8258995,약국
중앙약국,약국,영주시,하망동,"경상북도 영주시 중앙로 118, 중앙약국 (하망동)",054-638-3929,2003-03-21,,,,,128.6259356,36.8256993,약국
참사랑약국,약국,영주시,조암동,"경상북도 영주시 구성로142번길 14, 1층 (조암동)",054-636-9922,2019-06-17,,,,,128.6297509,36.8057972,약국
태백산약국,약국,영주시,영주동,"경상북도 영주시 구성로378번길 9, (영주동)",054-631-2660,2008-10-31,,,,,128.621365,36.8253803,약국
태춘당약국,약국,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 91, (풍기읍)",054-636-2055,1970-07-31,,,,,128.5257185,36.8699256,약국
파티마약국,약국,영주시,영주동,"경상북도 영주시 구성로 342, (영주동)",054-633-0146,1989-01-30,,,,,128.6241642,36.8226552,약국
평화약국,약국,영주시,상망동,"경상북도 영주시 봉화로 2, (상망동)",054-635-1705,2004-09-01,,,,,128.6519075,36.8386082,약국
풍기소백산약국,약국,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 102, (풍기읍)",054-633-9034,2017-02-13,,,,,128.524876,36.8704948,약국
풍기신세계약국,약국,영주시,풍기읍,"경상북도 영주시 풍기읍 동양대로 3, (풍기읍)",054-638-1235,2000-07-04,,,,,128.5267728,36.8714603,약국
한성약국,약국,영주시,하망동,"경상북도 영주시 번영로 133, (하망동)",054-631-2404,1966-04-14,,,,,128.6263726,36.8234019,약국
한솔약국,약국,영주시,영주동,"경상북도 영주시 중앙로 70, (영주동)",054-635-4320,2000-03-29,,,,,128.6239827,36.8218067,약국
해맑은약국,약국,영주시,가흥동,"경상북도 영주시 대동로31번길 10, (가흥동, 해맑은약국)",054-631-1199,2017-06-19,,,,,128.6060936,36.8158545,약국
희망온누리약국,약국,영주시,하망동,"경상북도 영주시 중앙로 126, 희망온누리약국 1층 (하망동)",054-632-4205,2025-12-01,,,,,128.6260535,36.8263736,약국
